Date,Hour,Minute,Permit Type,Spaces Left
2023-09-30,0,6,Gold Permit,165
2023-09-30,0,6,Gold Permit,167
2023-09-30,0,6,Gold Permit,6
2023-09-30,0,6,Orange Permit,158
2023-09-30,0,6,Orange Permit,109
2023-09-30,0,6,Purple Permit,36
2023-09-30,0,6,Pay-By-Space,41
2023-09-30,0,23,Gold Permit,165
2023-09-30,0,23,Gold Permit,167
2023-09-30,0,23,Gold Permit,7
2023-09-30,0,23,Orange Permit,158
2023-09-30,0,23,Orange Permit,109
2023-09-30,0,23,Purple Permit,36
2023-09-30,0,23,Pay-By-Space,41
2023-09-30,0,32,Gold Permit,165
2023-09-30,0,32,Gold Permit,167
2023-09-30,0,32,Gold Permit,7
2023-09-30,0,32,Orange Permit,158
2023-09-30,0,32,Orange Permit,110
2023-09-30,0,32,Purple Permit,36
2023-09-30,0,32,Pay-By-Space,41
2023-09-30,0,46,Gold Permit,165
2023-09-30,0,46,Gold Permit,167
2023-09-30,0,46,Gold Permit,7
2023-09-30,0,46,Orange Permit,158
2023-09-30,0,46,Orange Permit,109
2023-09-30,0,46,Purple Permit,36
2023-09-30,0,46,Pay-By-Space,40
2023-09-30,1,9,Gold Permit,165
2023-09-30,1,9,Gold Permit,167
2023-09-30,1,9,Gold Permit,7
2023-09-30,1,9,Orange Permit,158
2023-09-30,1,9,Orange Permit,109
2023-09-30,1,9,Purple Permit,36
2023-09-30,1,9,Pay-By-Space,39
2023-09-30,1,25,Gold Permit,165
2023-09-30,1,25,Gold Permit,167
2023-09-30,1,25,Gold Permit,7
2023-09-30,1,25,Orange Permit,158
2023-09-30,1,25,Orange Permit,109
2023-09-30,1,25,Purple Permit,36
2023-09-30,1,25,Pay-By-Space,39
2023-09-30,1,32,Gold Permit,165
2023-09-30,1,32,Gold Permit,167
2023-09-30,1,32,Gold Permit,7
2023-09-30,1,32,Orange Permit,158
2023-09-30,1,32,Orange Permit,109
2023-09-30,1,32,Purple Permit,36
2023-09-30,1,32,Pay-By-Space,39
2023-09-30,1,47,Gold Permit,165
2023-09-30,1,47,Gold Permit,168
2023-09-30,1,47,Gold Permit,7
2023-09-30,1,47,Orange Permit,158
2023-09-30,1,47,Orange Permit,109
2023-09-30,1,47,Purple Permit,36
2023-09-30,1,47,Pay-By-Space,41
2023-09-30,2,6,Gold Permit,165
2023-09-30,2,6,Gold Permit,168
2023-09-30,2,6,Gold Permit,7
2023-09-30,2,6,Orange Permit,158
2023-09-30,2,6,Orange Permit,109
2023-09-30,2,6,Purple Permit,36
2023-09-30,2,6,Pay-By-Space,41
2023-09-30,2,17,Gold Permit,165
2023-09-30,2,17,Gold Permit,168
2023-09-30,2,17,Gold Permit,7
2023-09-30,2,17,Orange Permit,158
2023-09-30,2,17,Orange Permit,109
2023-09-30,2,17,Purple Permit,36
2023-09-30,2,17,Pay-By-Space,41
