Date,Hour,Minute,Permit Type,Spaces Left
2023-09-28,0,15,Gold Permit,0
2023-09-28,0,15,Gold Permit,235
2023-09-28,0,15,Gold Permit,230
2023-09-28,0,15,Orange Permit,199
2023-09-28,0,15,Purple Permit,26
2023-09-28,0,15,Purple Permit,9
2023-09-28,0,15,Pay-By-Space,136
2023-09-28,1,22,Gold Permit,0
2023-09-28,1,22,Gold Permit,237
2023-09-28,1,22,Gold Permit,231
2023-09-28,1,22,Orange Permit,199
2023-09-28,1,22,Purple Permit,26
2023-09-28,1,22,Purple Permit,9
2023-09-28,1,22,Pay-By-Space,136
2023-09-28,2,3,Gold Permit,0
2023-09-28,2,3,Gold Permit,238
2023-09-28,2,3,Gold Permit,234
2023-09-28,2,3,Orange Permit,199
2023-09-28,2,3,Purple Permit,25
2023-09-28,2,3,Purple Permit,9
2023-09-28,2,3,Pay-By-Space,136
2023-09-28,2,19,Gold Permit,0
2023-09-28,2,19,Gold Permit,238
2023-09-28,2,19,Gold Permit,234
2023-09-28,2,19,Orange Permit,199
2023-09-28,2,19,Purple Permit,25
2023-09-28,2,19,Purple Permit,9
2023-09-28,2,19,Pay-By-Space,136
2023-09-28,2,31,Gold Permit,0
2023-09-28,2,31,Gold Permit,238
2023-09-28,2,31,Gold Permit,234
2023-09-28,2,31,Orange Permit,199
2023-09-28,2,31,Purple Permit,25
2023-09-28,2,31,Purple Permit,9
2023-09-28,2,31,Pay-By-Space,136
