Date,Hour,Minute,Permit Type,Spaces Left
2023-09-26,12,7,Gold Permit,4
2023-09-26,12,7,Gold Permit,0
2023-09-26,12,7,Gold Permit,0
2023-09-26,12,7,Orange Permit,6
2023-09-26,12,7,Orange Permit,5
2023-09-26,12,7,Purple Permit,10
2023-09-26,12,7,Pay-By-Space,19
2023-09-26,12,24,Gold Permit,2
2023-09-26,12,24,Gold Permit,0
2023-09-26,12,24,Gold Permit,0
2023-09-26,12,24,Orange Permit,5
2023-09-26,12,24,Orange Permit,4
2023-09-26,12,24,Purple Permit,10
2023-09-26,12,24,Pay-By-Space,17
2023-09-26,15,17,Gold Permit,11
2023-09-26,15,17,Gold Permit,0
2023-09-26,15,17,Gold Permit,0
2023-09-26,15,17,Orange Permit,8
2023-09-26,15,17,Orange Permit,10
2023-09-26,15,17,Purple Permit,6
2023-09-26,15,17,Pay-By-Space,5
2023-09-26,16,14,Gold Permit,27
2023-09-26,16,14,Gold Permit,11
2023-09-26,16,14,Gold Permit,0
2023-09-26,16,14,Orange Permit,21
2023-09-26,16,14,Orange Permit,12
2023-09-26,16,14,Purple Permit,4
2023-09-26,16,14,Pay-By-Space,7
2023-09-26,17,15,Gold Permit,42
2023-09-26,17,15,Gold Permit,40
2023-09-26,17,15,Gold Permit,5
2023-09-26,17,15,Orange Permit,47
2023-09-26,17,15,Orange Permit,28
2023-09-26,17,15,Purple Permit,14
2023-09-26,17,15,Pay-By-Space,9
2023-09-26,18,16,Gold Permit,69
2023-09-26,18,16,Gold Permit,62
2023-09-26,18,16,Gold Permit,2
2023-09-26,18,16,Orange Permit,60
2023-09-26,18,16,Orange Permit,43
2023-09-26,18,16,Purple Permit,16
2023-09-26,18,16,Pay-By-Space,12
2023-09-26,20,13,Gold Permit,86
2023-09-26,20,13,Gold Permit,104
2023-09-26,20,13,Gold Permit,6
2023-09-26,20,13,Orange Permit,91
2023-09-26,20,13,Orange Permit,69
2023-09-26,20,13,Purple Permit,36
2023-09-26,20,13,Pay-By-Space,23
2023-09-26,21,23,Gold Permit,98
2023-09-26,21,23,Gold Permit,114
2023-09-26,21,23,Gold Permit,11
2023-09-26,21,23,Orange Permit,109
2023-09-26,21,23,Orange Permit,83
2023-09-26,21,23,Purple Permit,36
2023-09-26,21,23,Pay-By-Space,44
2023-09-26,22,17,Gold Permit,119
2023-09-26,22,17,Gold Permit,145
2023-09-26,22,17,Gold Permit,11
2023-09-26,22,17,Orange Permit,133
2023-09-26,22,17,Orange Permit,108
2023-09-26,22,17,Purple Permit,39
2023-09-26,22,17,Pay-By-Space,86
2023-09-26,23,19,Gold Permit,123
2023-09-26,23,19,Gold Permit,145
2023-09-26,23,19,Gold Permit,11
2023-09-26,23,19,Orange Permit,140
2023-09-26,23,19,Orange Permit,108
2023-09-26,23,19,Purple Permit,39
2023-09-26,23,19,Pay-By-Space,89
2023-10-03,0,7,Gold Permit,123
2023-10-03,0,7,Gold Permit,146
2023-10-03,0,7,Gold Permit,11
2023-10-03,0,7,Orange Permit,140
2023-10-03,0,7,Orange Permit,109
2023-10-03,0,7,Purple Permit,39
2023-10-03,0,7,Pay-By-Space,89
2023-10-03,0,24,Gold Permit,123
2023-10-03,0,24,Gold Permit,146
2023-10-03,0,24,Gold Permit,11
2023-10-03,0,24,Orange Permit,141
2023-10-03,0,24,Orange Permit,109
2023-10-03,0,24,Purple Permit,39
2023-10-03,0,24,Pay-By-Space,91
2023-10-03,0,32,Gold Permit,123
2023-10-03,0,32,Gold Permit,146
2023-10-03,0,32,Gold Permit,11
2023-10-03,0,32,Orange Permit,141
2023-10-03,0,32,Orange Permit,109
